Oct. 19, 2022   13:05:27
Amperometric i-t Curve
File: f:\Data Source:  Experiment
Instrument Model:  CHI760E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0.5
Sample Interval (s) = 0.1
Run Time (sec) = 150
Quiet Time (sec) = 0.2
Sensitivity (A/V) = 1e-9


Time/sec, Current/A

2.43001e+1, -2.93816e-9
2.44001e+1, -2.93791e-9
2.45001e+1, -2.93781e-9
2.46001e+1, -2.93756e-9
2.47001e+1, -2.93720e-9
2.48001e+1, -2.93722e-9
2.49001e+1, -2.93717e-9
2.50001e+1, -2.93690e-9
2.51001e+1, -2.93683e-9
2.52001e+1, -2.93667e-9
2.53001e+1, -2.93667e-9
2.54001e+1, -2.93632e-9
2.55001e+1, -2.93641e-9
2.56001e+1, -2.93629e-9
2.57001e+1, -2.93616e-9
2.58001e+1, -2.93611e-9
2.59001e+1, -2.93586e-9
2.60001e+1, -2.93580e-9
2.61001e+1, -2.93589e-9
2.62001e+1, -2.93550e-9
2.63001e+1, -2.93551e-9
2.64001e+1, -2.93531e-9
2.65001e+1, -2.93501e-9
2.66001e+1, -2.93494e-9
2.67001e+1, -2.93478e-9
2.68001e+1, -2.93470e-9
2.69001e+1, -2.93439e-9
2.70001e+1, -2.93451e-9
2.71001e+1, -2.93420e-9
2.72001e+1, -2.93414e-9
2.73001e+1, -2.93418e-9
2.74001e+1, -2.93390e-9
2.75001e+1, -2.93373e-9
2.76001e+1, -2.93379e-9
2.77001e+1, -2.93372e-9
2.78001e+1, -2.93367e-9
2.79001e+1, -2.93331e-9
2.80001e+1, -2.93342e-9
2.81001e+1, -2.93310e-9
2.82001e+1, -2.93321e-9
2.83001e+1, -2.93286e-9
2.84001e+1, -2.93301e-9
2.85001e+1, -2.93274e-9
2.86001e+1, -2.93245e-9
2.87001e+1, -2.93237e-9
2.88001e+1, -2.93246e-9
2.89001e+1, -2.93238e-9
2.90001e+1, -2.93205e-9
2.91001e+1, -2.93191e-9
2.92001e+1, -2.93213e-9
2.93001e+1, -2.93165e-9
2.94001e+1, -2.93182e-9
2.95001e+1, -2.93156e-9
2.96001e+1, -2.93166e-9
2.97001e+1, -2.93148e-9
2.98001e+1, -2.93116e-9
2.99001e+1, -2.93125e-9
3.00001e+1, -2.93103e-9
3.01001e+1, -2.93102e-9
3.02001e+1, -2.93103e-9
3.03001e+1, -2.93079e-9
3.04001e+1, -2.93097e-9
3.05001e+1, -2.93067e-9
3.06001e+1, -2.93041e-9
3.07001e+1, -2.93020e-9
3.08001e+1, -2.93028e-9
3.09001e+1, -2.93024e-9
3.10001e+1, -2.93006e-9
3.11001e+1, -2.92983e-9
3.12001e+1, -2.92989e-9
3.13001e+1, -2.92977e-9
3.14001e+1, -2.92963e-9
3.15001e+1, -2.92972e-9
3.16001e+1, -2.92956e-9
3.17001e+1, -2.92943e-9
3.18001e+1, -2.92963e-9
3.19001e+1, -2.92923e-9
3.20001e+1, -2.92932e-9
3.21001e+1, -2.92907e-9
3.22001e+1, -2.92872e-9
3.23001e+1, -2.92878e-9
3.24001e+1, -2.92864e-9
3.25001e+1, -2.92858e-9
3.26001e+1, -2.92847e-9
3.27001e+1, -2.92866e-9
3.28001e+1, -2.92849e-9
3.29001e+1, -2.92830e-9
3.30001e+1, -2.92809e-9
3.31001e+1, -2.92802e-9
3.32001e+1, -2.92794e-9
3.33001e+1, -2.92789e-9
3.34001e+1, -2.92796e-9
3.35001e+1, -2.92767e-9
